"species_sel","predictor","log_x","effect","term","estimate","std.error","statistic","df","p.value","interact","scale"
"GrandFir","mutualist",TRUE,"fixed","(Intercept)",0.254122837124637,0.0375567435963548,6.76637037161288,11.7107886815941,2.25801660439379e-05,"drought","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","x",0.0123810418766775,0.0101726865004855,1.21708674263053,74.9990228820035,0.227387165576422,"drought","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","droughtND",0.0239583297181783,0.0318657996376208,0.751850886864081,75.2314921356357,0.45448653642451,"drought","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","x:droughtND",0.0123261020740337,0.0145045616089773,0.849808660635745,75.5649459925496,0.39811597044308,"drought","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","(Intercept)",0.238405688121136,0.0559482778581206,4.26118009790595,41.3655744652075,0.000114673067743838,"drought","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","x",0.00230358087299317,0.0160753062843903,0.143299345731909,75.7581592964583,0.88643424610006,"drought","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","droughtND",-0.0680989312089342,0.0727221448060324,-0.936426330529312,75.1972585670135,0.352051456343297,"drought","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","x:droughtND",-0.0194620500133221,0.0219255245830017,-0.88764352887641,75.3443575313538,0.377557381967537,"drought","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","(Intercept)",0.246538870219354,0.0443379901192451,5.56044307728651,21.6004646697676,1.46333100241768e-05,"drought","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","x",0.00568164560753898,0.0124330911790821,0.456977715815195,74.9417020718993,0.649008952950343,"drought","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","droughtND",0.0173311173566231,0.0499636829701629,0.346874296015624,75.3031882148607,0.729653254323138,"drought","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","x:droughtND",0.00481638246572945,0.0173185586707424,0.278105271766417,75.648538298163,0.781690257790897,"drought","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","(Intercept)",0.234159968558969,0.0359244231977019,6.51812743854851,11.5089229094232,3.48831175855413e-05,"fire_freq","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","x",-0.00659942235367534,0.0199939641824085,-0.330070730019702,61.7768636087275,0.742463227717098,"fire_freq","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","fire_freq1",0.108110107217698,0.0359819483278758,3.00456512895227,61.0109539783727,0.00385481591821094,"fire_freq","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","fire_freq3",0.00386878911622489,0.0423400464534173,0.0913742293712725,61.9872721478469,0.927489883744724,"fire_freq","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","x:fire_freq1",0.0651478408654829,0.0242221869724466,2.68959367457572,61.6499078120161,0.00919116842473612,"fire_freq","log10(x+1e-6)"
"GrandFir","mutualist",TRUE,"fixed","x:fire_freq3",0.000523529638457804,0.0248289080046171,0.0210854878660169,62.2004269977684,0.983244956927403,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","(Intercept)",0.273488463939418,0.0579716802255647,4.71762182630017,41.2755233602148,2.73429168764711e-05,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","x",0.0124117321381898,0.0142002602451212,0.874049624721071,61.2334987544846,0.385506386758589,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","fire_freq1",-0.353565058331387,0.105881501861156,-3.3392523917447,61.1597864003298,0.00143466798114365,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","fire_freq3",0.0268855771538454,0.0845347562678156,0.318041694810935,60.4902031818719,0.751548708025653,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","x:fire_freq1",-0.106219808910416,0.0306966033784322,-3.46031147488608,61.4072193648536,0.000987139280919732,"fire_freq","log10(x+1e-6)"
"GrandFir","pathogen",TRUE,"fixed","x:fire_freq3",0.00581420524732122,0.0264238262944304,0.220036461886171,60.4927122556306,0.826583630572428,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","(Intercept)",0.252881390566317,0.0503744534719764,5.02003243979603,25.3537150745482,3.40826454423103e-05,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","x",0.00446524821442125,0.0122412852173006,0.364769559336018,61.2313080834267,0.716540270095969,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","fire_freq1",0.180416485604938,0.0831846081036797,2.16886861305003,62.8940556937862,0.0338812926340888,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","fire_freq3",0.0764808383726534,0.0675802073645369,1.13170470105404,61.2872010980579,0.262167344837188,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","x:fire_freq1",0.0554611251715546,0.0258436942917163,2.14602156121819,63.5135338847287,0.0356987728177233,"fire_freq","log10(x+1e-6)"
"GrandFir","saprotroph",TRUE,"fixed","x:fire_freq3",0.0291005873691884,0.0262922878715443,1.10681076943036,61.3748782240588,0.272695009453851,"fire_freq","log10(x+1e-6)"
